1a	0.007020
1b	0.006224
1c	0.006517
1d	0.006388
2a	0.022736
2b	0.019820
2c	0.019217
2d	0.020508
3a	0.150432
3b	0.139078
3c	0.149890
4a	0.134184
4b	0.133315
4c	0.134386
5a	0.053869
5b	0.055971
5c	0.027807
6a	0.006925
6b	0.002030
6c	0.002115
6d	0.144551
6e	0.013838
6f	0.136227
7a	0.019517
7b	0.006971
7c	0.095568
8a	0.045038
8b	0.029794
8c	0.297746
8d	0.200134
9a	0.131451
9b	0.072819
9c	0.325111
9d	0.334379
10a	0.029236
10b	0.019344
10c	0.423600
11a	0.023415
11b	0.020159
11c	0.036504
11d	0.036483
12a	0.080285
12b	0.020764
12c	0.090077
13a	0.029120
13b	0.064283
13c	0.064874
13d	0.049441
14a	0.054628
14b	0.035327
14c	0.053434
15a	0.032491
15b	0.024341
15c	0.050358
15d	0.057082
16a	0.028555
16b	0.141802
16c	0.040378
16d	0.038091
17a	0.153982
17b	0.177911
17c	0.177822
17d	0.176409
17e	0.096765
17f	0.182851
18a	0.601553
18b	0.250822
18c	0.756066
19a	0.165913
19b	0.099162
19c	0.210303
19d	0.191915
20a	0.084530
20b	0.051463
20c	0.048851
21a	0.033887
21b	0.027122
21c	0.027872
22a	0.112543
22b	0.111502
22c	0.132207
22d	0.131069
23a	0.015256
23b	0.013303
23c	0.012993
24a	0.123258
24b	0.023803
25a	0.088862
25b	0.042684
25c	0.149349
26a	0.050729
26b	0.025957
26c	0.047702
27a	0.014866
27b	0.014052
27c	0.017037
28a	0.020953
28b	0.015903
28c	0.023986
29a	0.021051
29b	0.016873
29c	0.019885
30a	0.019323
30b	0.014859
30c	0.032240
31a	0.074426
31b	0.076488
31c	0.075050
32a	0.020513
32b	0.018839
33a	0.009581
33b	0.008394
33c	0.021869
