  cache: loaded 278008500 pairs from /Users/remywang/projects/prela/julia/../cache (8.3s)
Loaded JOB tables from cache (binary + mmap).
Universe: 2528312 movies
Person universe: 4167491 persons
1a	0.042559
1b	0.037336
1c	0.042016
1d	0.036721
2a	0.039329
2b	0.038478
2c	0.036885
2d	0.039735
3a	0.195899
3b	0.176272
3c	0.193114
4a	0.182369
4b	0.184640
4c	0.186192
5a	0.087411
5b	0.091168
5c	0.064606
6a	0.008052
6b	0.022833
6c	0.002086
6d	0.238681
6e	0.016273
6f	0.172580
7a	0.061695
7b	0.045339
7c	0.243674
8a	0.078896
8b	0.067315
8c	0.349297
8d	0.228000
9a	0.202478
9b	0.132850
9c	0.469900
9d	0.522562
10a	0.071186
10b	0.051767
10c	0.639390
11a	0.061069
11b	0.057614
11c	0.087176
11d	0.044716
12a	0.123983
12b	0.050199
12c	0.140001
13a	0.063508
13b	0.096357
13c	0.094403
13d	0.086141
14a	0.123547
14b	0.112516
14c	0.126656
15a	0.076327
15b	0.062500
15c	0.098933
15d	0.092416
16a	0.054517
16b	0.251132
16c	0.072155
16d	0.070841
17a	0.189516
17b	0.217329
17c	0.213173
17d	0.213938
17e	0.125283
17f	0.222188
18a	0.817205
18b	0.398726
18c	0.889023
19a	0.247037
19b	0.160707
19c	0.289150
19d	0.276675
20a	0.162106
20b	0.122134
20c	0.108991
21a	0.082648
21b	0.068897
21c	0.076817
22a	0.182676
22b	0.181521
22c	0.209344
22d	0.205165
23a	0.058873
23b	0.060463
23c	0.064470
24a	0.182980
24b	0.071264
25a	0.143481
25b	0.089250
25c	0.353727
26a	0.117980
26b	0.078663
26c	0.113668
27a	0.068524
27b	0.067160
27c	0.076851
28a	0.094011
28b	0.079602
28c	0.085841
29a	0.085194
29b	0.084613
29c	0.081398
30a	0.074319
30b	0.067588
30c	0.122013
31a	0.118020
31b	0.129946
31c	0.114477
32a	0.022358
32b	0.020712
33a	0.048491
33b	0.010967
33c	0.080767
